Full name,URL,Stars,Num contributors,Last updated
DistrictDataLabs/yellowbrick,https://github.com/DistrictDataLabs/yellowbrick,3695,105,2022-08-03T08:47:53
online-ml/river,https://github.com/online-ml/river,3510,77,2022-08-03T15:01:06
feast-dev/feast,https://github.com/feast-dev/feast,3451,140,2022-08-03T22:31:24
uber/causalml,https://github.com/uber/causalml,3193,41,2022-08-03T15:42:40
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3148,1,2022-07-31T15:04:24
polyaxon/polyaxon,https://github.com/polyaxon/polyaxon,3130,90,2022-08-03T16:07:50
Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,3117,83,2022-08-02T17:05:27
hudson-and-thames/mlfinlab,https://github.com/hudson-and-thames/mlfinlab,3059,3,2022-08-02T20:43:53
nidhaloff/igel,https://github.com/nidhaloff/igel,2987,19,2022-08-03T08:09:00
kubeflow/pipelines,https://github.com/kubeflow/pipelines,2932,318,2022-08-02T16:12:01
firmai/financial-machine-learning,https://github.com/firmai/financial-machine-learning,2764,6,2022-08-03T04:44:10
ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,2668,4,2022-08-03T14:24:18
replicate/cog,https://github.com/replicate/cog,2654,16,2022-08-03T20:12:46
salesforce/Merlion,https://github.com/salesforce/Merlion,2644,9,2022-08-03T19:24:16
bfortuner/ml-glossary,https://github.com/bfortuner/ml-glossary,2587,69,2022-08-03T19:51:37
stellargraph/stellargraph,https://github.com/stellargraph/stellargraph,2451,30,2022-08-02T23:41:21
tslearn-team/tslearn,https://github.com/tslearn-team/tslearn,2196,33,2022-08-03T18:22:49
Palashio/libra,https://github.com/Palashio/libra,1918,28,2022-08-02T18:27:34
Trusted-AI/AIF360,https://github.com/Trusted-AI/AIF360,1787,43,2022-08-03T08:42:40
deepchecks/deepchecks,https://github.com/deepchecks/deepchecks,1782,24,2022-08-03T18:39:34
